ANTW_ID,LATBOOMSOORT,DISTRICT,STAMOMTREK,x,y
63722,Tilia tomentosa 'Brabant',ANTWERPEN,72,4.394027702447957,51.216636262795554
37468,Ginkgo biloba 'Tremonia',ANTWERPEN,23,4.394558773210101,51.21670803598568
33394,Malus tschonoskii,ANTWERPEN,47,4.394962791465566,51.21602952257024
