"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Applicatieprofiel Vlaamse Codex"	"{1EEA4C4E-943F-467a-99C8-02F40FB973F4}"	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wetgeving"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{6B55E266-AF2A-432a-8F0F-F80B5A5A74F2}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	" "	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Identificator"	"{D16E0487-960F-423c-83C3-4794D406EFA2}"	""	""	""	""	"Identificator"	"Informatie gebruikt om een object uniek te identificeren. "	"Uitgangspunt hier is dat deze string door een organisatie wordt toegekend en dat dit gebeurt volgens een welbepaald systeem."	""	"true"	"http://www.w3.org/ns/adms#"	"Identifier"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"GestructureerdeIdentificator"	"{69D5E626-3C87-47aa-BC3B-4C28A7F603BF}"	""	""	""	""	"Gestructureerde Identificator"	"Identificator van een object opgesplitst in zijn onderdelen."	""	""	"true"	"http://data.vlaanderen.be/ns/generiek#"	"GestructureerdeIdentificator"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Codelijsten"	"TypeRechtsgrondSubdivisie"	"{CB84CD32-0BE3-4068-A74F-95BE06C4D063}"	""	""	""	""	"type rechtsgrond subdivisie"	"TODO"	""	"https://data.vlaanderen.be/id/conceptscheme/ TypeRechtsgrondSubdivisie"	"true"	"http://fixme.com#"	"TypeRechtsgrondSubdivisie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Codelijsten"	"AardWetgeving"	"{582CC952-68A4-41e0-93D2-95EF379221A9}"	""	""	""	""	"aard van de wetgeving"	"TODO"	""	"https://data.vlaanderen.be/id/conceptscheme/AardWetgeving"	"true"	"http://fixme.com#"	"AardWetgeving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Applicatieprofiel Vlaamse Codex"	"RechtsgrondSubdivisie"	"{8AB13A2B-EF07-45ab-8AC4-06277741D748}"	"Rechtsgrond"	""	""	""	"Rechtsgrond Subdivise"	"Een onderdeel van een rechtshandeling, op een willekeurig niveau van nauwkeurigheid, zoals een hoofdstuk, een artikel, een alinea, een alinea of een lijstitem."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResourceSubdivision"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalResource"	""	""
"CLASS"	"Applicatieprofiel Vlaamse Codex"	"Verschijningsvorm"	"{5088725C-DA84-443e-A602-467604D2B54A}"	""	""	""	""	"Verschijningsvorm"	"De intellectuele realisatie van een legale bron in de vorm van een ""reeks van tekens"" (meestal alfanumerieke tekens in een juridische context)."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalExpression"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Applicatieprofiel Vlaamse Codex"	"Rechtsgrond"	"{FDE3161F-ADDA-429b-89A8-5B41A6095502}"	""	""	""	""	"Rechtsgrond"	"Een aparte intellectuele creatie (d.w.z. de intellectuele inhoud)."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResource"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"connector"	""	"zieOok"	"{0D7B04B5-A57B-4ac7-A2A7-39B8657B61E7}"	""	""	""	""	"zie ook"	"Duidt op een of ander manier gerelateerd ander document, niet noodzakelijk een legale bron."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"related_to"	"http://www.w3.org/2002/07/owl#ObjectProperty"	""	""	""	""	""
