"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"ap-label-nl"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Dienst"	"{0CFAB199-00F5-4902-A6A2-695FF6A08967}"	""	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"dienst"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""
"CLASS"	"OSLO-Dienst"	"Agent"	"{6A2FB1BE-6DB5-400b-AE1D-20DD8D110C40}"	""	""	""	""	"TODO"	"TODO"	""	""	"Agent (in de rol van serviceprovider)"	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"DATATYPE"	"OSLO-Dienst"	"OpeningsurenSpecificatie"	"{EB4EADE8-E57E-4c65-9302-DF56831BD1D7}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"https://schema.org/"	"OpeningHoursSpecification"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Generiek"	"ATU"	"{BF1E2D7A-43CC-4c8f-A380-2A46E2E53EBD}"	""	""	""	""	"TODO"	"TODO"	""	"ttp://publications.europa.eu/mdr/authority/atu/index.html"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Generiek"	"NAL_language"	"{93633F2E-E650-4e75-B6A9-102793DF4244}"	""	""	""	""	"TODO"	"TODO"	""	"http://publications.europa.eu/mdr/authority/language/"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Generiek"	"NAL_currency"	"{2FCC1211-E3F5-4953-9243-233B9A764ABD}"	""	""	""	""	"TODO"	"TODO"	""	"http://publications.europa.eu/mdr/authority/currency/"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"ParticipatieRol"	"{49B1B7CC-70E0-4bd1-B3A2-AC8502910421}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"KanaalType"	"{11F7908E-F69B-4d1e-81DF-CF824A4CB911}"	""	""	""	""	"TODO"	"TODO"	""	"http://joinup.ec.europa.eu/asset/cpsv-ap/Distribution/CPSV-AP_Specification_v2.0/PDF"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"GebeurtenisType"	"{94C5EC1C-C21F-4cfd-B185-D6FA8C738793}"	""	""	""	""	"TODO"	"TODO"	""	"http://joinup.ec.europa.eu/asset/cpsv-ap/Distribution/CPSV-AP_Specification_v2.0/PDF"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"CriteriumVereisteType"	"{427CD9FF-DA42-4717-BBF6-50B3B0C135F7}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"OutputType"	"{432A6CCC-6E0D-41d7-8DC0-F87A1F834EF4}"	""	""	""	""	"TODO"	"TODO"	""	"http://joinup.ec.europa.eu/asset/cpsv-ap/Distribution/CPSV-AP_Specification_v2.0/PDF"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"BewijsType"	"{34608792-D13E-47b8-B1DB-6D40821368A7}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"ADMSStatusVocabularium"	"{A7B13A6B-DA1E-4a0b-8F96-31116CF94AF5}"	""	""	""	""	"TODO"	"TODO"	""	" http://purl.org/adms/status/"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"NACE"	"{6E471580-9DE8-41e9-9914-5278853FB3F3}"	""	""	""	""	"TODO"	"TODO"	""	"http://ec.europa.eu/competition/mergers/cases/index/nace_all.html"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"ENUMERATION"	"OSLO-Dienst"	"COFOG"	"{3B7CDBF3-F808-44e1-BAD7-A32CCBE758FA}"	""	""	""	""	"TODO"	"TODO"	""	"https://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=4"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Generiek"	"FormeelKader"	"{64272970-1A4C-43c0-BAB2-1166BCD17A47}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"http://purl.org/vocab/cpsv#"	"FormalFramework"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"DATATYPE"	"OSLO-Generiek"	"ContactInfo"	"{E57F62A2-6B79-40bf-BC3D-675BE17B8FE2}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"https://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Organisatie"	"Organisatie"	"{D7B5719D-98EF-4b8c-BBD5-F10ACB925CA8}"	"Agent"	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	""	"true"	"https://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"
