"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"ap-label-nl"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"CLASS"	"OSLO-Persoon"	"Geboorte"	"{9858FB36-04B9-4c11-9E1F-AD2258E7063D}"	"Persoonsgebeurtenis"	""	""	""	"Geboorte"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Geboorte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Persoonsgebeurtenis"
"CLASS"	"OSLO-Persoon"	"Domicilie"	"{2DAC2E16-4AB3-4881-BC2D-5A37A7C130C8}"	"Verblijfplaats"	""	""	""	"Domicilie"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Domicilie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Verblijfplaats"
"DATATYPE"	"OSLO-Generiek"	"ContactInfo"	"{B51D1611-CF1F-4153-9038-00B91F20209A}"	""	""	""	""	"Contactpunt"	"TODO"	""	""	""	"true"	"https://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Persoon"	"Verblijfplaats"	"{5BE64DB3-9C47-4b85-AA1F-2298C1C8E31B}"	""	""	""	""	"Verblijfplaats"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Verblijfplaats"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Persoon"	"GeenInwoner"	"{8F8185A2-42D2-4136-BCD6-38F5F8D8CEE8}"	"Inwonerschap"	""	""	""	"Geen Inwoner"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"GeenInwoner"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Inwonerschap"
"CLASS"	"OSLO-Persoon"	"Inwonerschap"	"{209F20DE-5E97-4a4c-8DC6-040983BEEFA0}"	""	""	""	""	"Inwonerschap"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Inwonerschap"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Persoon"	"Staatsburger"	"{26C9D723-CF1D-4208-99BC-651C9A28FDCB}"	"Staatsburgerschap"	""	""	""	"Staatsburger"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Staatsburger"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Staatsburgerschap"
"CLASS"	"OSLO-Generiek"	"Agent"	"{496AE8CB-6220-48da-83BF-62D9B5421EB2}"	""	""	""	""	"TODO"	"TODO"	""	""	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Persoon"	"Vreemdeling"	"{24AB8154-ECE2-4353-9A92-4F201669B3C2}"	"Staatsburgerschap"	""	""	""	"Vreemdeling"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Vreemdeling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Staatsburgerschap"
"CLASS"	"OSLO-Persoon"	"Staatsburgerschap"	"{C93E190F-4C3D-43f5-BA53-2757E10B9781}"	""	""	""	""	"Staatburgerschap"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Staatsburgerschap"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Generiek"	"Jurisdictie"	"{15531E00-CA08-4cdf-A9D4-E0061158D849}"	""	""	""	""	"Jurisdictie"	"TODO"	""	""	""	"true"	"http://purl.org/dc/terms/"	"Jurisdiction"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""
"CLASS"	"OSLO-Persoon"	"Gezin"	"{E240971C-F376-4c89-9EB4-4385142C09D9}"	"Organisatie"	""	""	""	"Gezin"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Gezin"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization"
"CLASS"	"OSLO-Persoon"	"Afstamming"	"{2A1B65A3-52AA-4043-A3A3-43BEA8FC85C7}"	"PersoonsRelatie"	""	""	""	"Afstamming"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Afstamming"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#PersoonsRelatie"
"CLASS"	"OSLO-Persoon"	"TijdelijkInwoner"	"{C6296A5C-9521-4c3a-9D86-F4D297005352}"	"Inwoner"	""	""	""	"Tijdelijk Inwoner"	"TODO"	""	""	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"TijdelijkInwoner"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Inwoner"
