"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Adres"	"{A932FAA1-BC5B-49df-973A-B6B99AD02592}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"adres"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{68B20A1B-8000-46f2-8361-E7A9E931253F}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	" "	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"GeografischeNaam"	"{A6BA271E-89A7-4ecb-906A-02132C40EFBE}"	""	""	""	""	"Geografische Naam"	"Benaming toegekend aan of gebruikt voor een geografisch object."	" "	""	"true"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"	"langString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"GeografischePositie"	"{EBD6C1CD-B9D4-475d-9FAA-327C3AC15B94}"	""	""	""	""	"Geografische Positie"	"Geografische positie aangegeven dmv een punt."	" "	""	"true"	"http://data.vlaanderen.be/ns/generiek#"	"GeografischePositie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Adres"	"Locatorniveauwaarde"	"{A3B53A0F-0D19-4da0-BE86-1411B72E7776}"	""	""	""	""	"Locatorniveauwaarde"	"Niveau vd adreslocator."	" "	"http://inspire.ec.europa.eu/codelist/LocatorLevelValue"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Adreslocator"	"{2468FFEA-D23E-4045-B112-B0B1D4EC3674}"	""	""	""	""	"Adreslocator"	"Menselijk leesbare aanduiding of naam die een gebruiker of applicatie toelaat om het adres te onderscheiden van naburige adressen in de straat, de administratieve eenheid etc waarin het adres ligt."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Adreslocator"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Adres"	"Locatienaamtype"	"{54E9ADE5-1A3E-4a2e-8539-8C8650F5E42C}"	""	""	""	""	"Locatienaamtype"	"Aard vd locatienaam."	" "	"http://inspire.ec.europa.eu/codelist/LocatorNameTypeValue"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Adres"	"Locatieaanduidingtype"	"{5AF4597A-C84A-4770-A80A-1EB216C83406}"	""	""	""	""	"Locatieaanduidingtype"	"Aard vd locatieaanduiding."	" "	"http://inspire.ec.europa.eu/codelist/LocatorDesignatorTypeValue"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Adres"	"Statuswaarde"	"{DFB35278-1499-4da9-8BFC-97A3BEBFEAEC}"	""	""	""	""	"Statuswaarde"	"Mate waarin het adres of de adrescomponent geldig is."	" "	"http://inspire.ec.europa.eu/codelist/StatusValue"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Locatienaam"	"{36746C76-0D2A-4d10-9E9D-09A5C7AC2D84}"	""	""	""	""	"Locatienaam"	"Naam of omschrijving vh het geografisch object dat een adreslocator aanduidt."	"Bvb de naam ve gebouw of deel ve gebouw of de naam ve kamer in een gebouw."	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Locatienaam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Locatieaanduiding"	"{A30F3160-22D3-42e0-BF95-31550FB0D953}"	""	""	""	""	"Locatieaanduiding"	"Alfanumerieke code die een adreslocator uniek identificeert binnen de straat, administratieve eenheid etc."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Locatieaanduiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Adresvoorstelling"	"{F045271F-DD68-4306-85EF-6A36D7D2B2C1}"	""	""	""	""	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres, bedoeld voor het gebruik van een adres als attribuut van een ander object."	"Bv als attribuut ve persoon of gebouw De adresvoorstelling heeft niet enkel betrekking op Belgische adressen, ze kan gebruikt worden om buitenlandse adressen weer te geven (waar mogelijk andere adresaanduidingen dan huisnummer of busnummer worden gebruikt of waar adrescomponenten zoals adresgebieden voorkomen)."	""	"true"	"http://www.w3.org/ns/locn#"	"Address"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Adres"	"Gemeentenaam"	"{B6E01B32-7AAE-44e3-BE74-AE8435B0A233}"	""	""	""	""	"Gemeentenaam"	"Adrescomponent die verwijst naar de naam ve gemeente, ttz het kleinste administratieve deel van het Belgisch grondgebied waarvan de grenzen enkel door de wetgever kunnen worden gewijzigd."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Gemeentenaam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/Output"	""	""
"CLASS"	"OSLO-Adres"	"Postinfo"	"{82CC5188-09FA-4c71-A903-FCFC8E85FDBC}"	""	""	""	""	"Postinfo"	"Adrescomponent die verwijst naar informatie toegekend door de aanbieder van de universele postdienst voor de identificatie van een groepering van adressen in een geografisch gebied voor postale doeleinden."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Postinfo"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/Output"	""	""
"CLASS"	"OSLO-Adres"	"Adresuitbreiding"	"{F65B60D1-DC89-44bb-9815-A20794B6336F}"	""	""	""	""	"Adresuitbreiding"	"Bijkomende gegevens mbt het adres."	"Gegevens die officieel geen deel uitmaken ve adres, bv de verdieping of de provincie"	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Adresuitbreiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Adres"	"Straatnaam"	"{B1791B54-CE53-4918-BF37-488BF8E935DB}"	""	""	""	""	"Straatnaam"	"Adrescomponent met de naam die officieel werd toegekend aan een straat (baan, doorgang, plein) of aan een gehucht en waaraan adressen kunnen zijn gekoppeld."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Straatnaam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/Output"	""	""
"CLASS"	"OSLO-Adres"	"AdresseerbaarObject"	"{6AD4895E-A7ED-4986-A866-AF67E29A0460}"	""	""	""	""	"Adresseerbaar Object"	"Geografisch object dat met een adres kan worden geïdentificeerd."	"Is abstract, ttz het type adresseerbaar object moet altijd worden opgegeven (vb gebouweenheid, perceel)."	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"AdresseerbaarObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Adres"	"Adres"	"{8F99766F-3674-46d6-9FE3-05FC60253B4E}"	""	""	""	""	"Belgisch Adres"	"Informatie die toelaat om op een gestructureerde en unieke manier te verwijzen naar een gebouweenheid, een ligplaats, een standplaats of een perceel op basis van een gemeentenaam, een straatnaam, een huisnummer en eventueel een busnummer en een postcode."	"De definitie heeft betrekking op Belgische adressen. In andere landen kan een adres eventueel verwijzen naar andere geografisch objecten (niet gebouweenheid of perceel) of bestaan uit andere aanduidingen (verschillend van huisnummer en busnummer) of uit andere componenten dan straatnaam, gemeentenaam of postcode. Alternatieve adresaanduidingen dan huisnummer of busnummer (bv ingangaanduiding, trapaanduiding, verdiepaanduiding...) of een gebouwnaam of kamernaam ed zijn mogelijk dmv een associatie met adresuitbreiding. Uitwisseling van buitenlandse adressen moet gebeuren mbv het object adresvoorstelling."	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"Adres"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/Output"	""	""
"connector"	""	"isToegekendAan"	"{3AE65967-93D1-45f4-B89D-232373C95354}"	""	"Adres"	"{8F99766F-3674-46d6-9FE3-05FC60253B4E}"	"AdresseerbaarObject"	"is toegekend aan"	"Adresseerbaar object waaraan het adres is toegekend."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"isToegekendAan"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/adres#Adres"	"http://data.vlaanderen.be/ns/adres#AdresseerbaarObject"	""	"0"	"*"
"connector"	""	"heeftPostinfo"	"{1B52ACFD-AF05-4586-8C03-EC7DC34D259B}"	""	"Adres"	"{8F99766F-3674-46d6-9FE3-05FC60253B4E}"	"Postinfo"	"heeft postinfo"	"Postinfocomponent van het adres."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"heeftPostinfo"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/adres#Adres"	"http://data.vlaanderen.be/ns/adres#Postinfo"	""	"1"	"1"
"connector"	""	"heeftGemeentenaam"	"{DF5E459A-AF4E-49bf-8B82-D2FB721C6CAE}"	""	"Adres"	"{8F99766F-3674-46d6-9FE3-05FC60253B4E}"	"Gemeentenaam"	"heeft gemeentenaam"	"Gemeentenaamcomponent van het adres."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"heeftGemeentenaam"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/adres#Adres"	"http://data.vlaanderen.be/ns/adres#Gemeentenaam"	""	"1"	"1"
"connector"	""	"heeftStraatnaam"	"{3D516B97-96D0-43ef-BE90-CBD3A70050C7}"	""	"Adres"	"{8F99766F-3674-46d6-9FE3-05FC60253B4E}"	"Straatnaam"	"heeft straatnaam"	"Straatnaamcomponent van het adres."	" "	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"heeftStraatnaam"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/adres#Adres"	"http://data.vlaanderen.be/ns/adres#Straatnaam"	""	"1"	"1"
"connector"	""	"verwijstNaar"	"{D3018670-EB77-4ffb-87E3-62BFBDA3FBE4}"	""	"Adresvoorstelling"	"{F045271F-DD68-4306-85EF-6A36D7D2B2C1}"	"Adres"	"verwijst naar"	"Adres waarvan de adresvoorstelling is afgeleid."	"Dit kan enkel voor Belgische adressen aangezien onder adres een Belgisch adres wordt verstaan."	""	"false"	"http://data.vlaanderen.be/ns/adres#"	"verwijstNaar"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/locn#Address"	"http://data.vlaanderen.be/ns/adres#Adres"	""	""	""
